BEGIN
SET
Output format is unaligned.
Field separator is ",".
coorte,versao,decisao,mercado,direcao,dia,entrada_utc,horizonte_s,saida_real,no_recorte_par,no_recorte_mercado_dia,entry_open,atr,horizonte_min,preco,ret_atr
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,a082a7fe-1ccb-5ce5-9dee-4871e4e60374,DASHUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,f,t,35.3600000000,0.3131071186056607527749582901,120,35.6400000000,0.89426264
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,a082a7fe-1ccb-5ce5-9dee-4871e4e60374,DASHUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,f,t,35.3600000000,0.3131071186056607527749582901,180,34.9500000000,-1.30945602
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,a082a7fe-1ccb-5ce5-9dee-4871e4e60374,DASHUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,f,t,35.3600000000,0.3131071186056607527749582901,240,34.5600000000,-2.55503613
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,868f8def-88cd-56aa-ae09-75655b448cd4,ZECUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,t,t,482.7400000000,5.578346245154091774238214406,5,485.3100000000,0.46071002
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,868f8def-88cd-56aa-ae09-75655b448cd4,ZECUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,t,t,482.7400000000,5.578346245154091774238214406,10,484.7200000000,0.35494391
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,868f8def-88cd-56aa-ae09-75655b448cd4,ZECUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,t,t,482.7400000000,5.578346245154091774238214406,15,487.3900000000,0.83358038
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,868f8def-88cd-56aa-ae09-75655b448cd4,ZECUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,t,t,482.7400000000,5.578346245154091774238214406,30,488.1700000000,0.97340677
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,868f8def-88cd-56aa-ae09-75655b448cd4,ZECUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,t,t,482.7400000000,5.578346245154091774238214406,60,484.8500000000,0.37824830
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,868f8def-88cd-56aa-ae09-75655b448cd4,ZECUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,t,t,482.7400000000,5.578346245154091774238214406,80,485.0300000000,0.41051593
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,868f8def-88cd-56aa-ae09-75655b448cd4,ZECUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,t,t,482.7400000000,5.578346245154091774238214406,120,488.1100000000,0.96265089
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,868f8def-88cd-56aa-ae09-75655b448cd4,ZECUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,t,t,482.7400000000,5.578346245154091774238214406,180,479.6900000000,-0.54675703
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,868f8def-88cd-56aa-ae09-75655b448cd4,ZECUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,t,t,482.7400000000,5.578346245154091774238214406,240,484.0200000000,0.22945869
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,b979cd17-b95b-5e72-aa0b-92e6f9197bbf,PROMUSDT,long,2026-07-08,2026-07-08 01:16:00,14400,target,f,t,1.1870000000,0.01537773951274910128358085216,5,1.1880000000,0.06502906
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,b979cd17-b95b-5e72-aa0b-92e6f9197bbf,PROMUSDT,long,2026-07-08,2026-07-08 01:16:00,14400,target,f,t,1.1870000000,0.01537773951274910128358085216,10,1.1840000000,-0.19508719
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,b979cd17-b95b-5e72-aa0b-92e6f9197bbf,PROMUSDT,long,2026-07-08,2026-07-08 01:16:00,14400,target,f,t,1.1870000000,0.01537773951274910128358085216,15,1.1860000000,-0.06502906
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,b979cd17-b95b-5e72-aa0b-92e6f9197bbf,PROMUSDT,long,2026-07-08,2026-07-08 01:16:00,14400,target,f,t,1.1870000000,0.01537773951274910128358085216,30,1.1770000000,-0.65029064
