symbol,cohort,entry_ts,exit_ts,motivo,interval_s,updated_at
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-19T06:16:00.000,2026-08-19T07:12:00.000,"",14400,2026-09-10T03:46:12
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-19T06:16:00.000,2026-08-19T07:12:00.000,"",14400,2026-09-10T04:26:12
PROMUSDT,replay:99fdba70-d6a9-452f-950e-324ea35828b0,2026-08-19T06:16:00.000,2026-08-19T07:12:00.000,"",14400,2026-09-09T20:14:11
PROMUSDT,replay:d82356d9-65dd-4d6d-ab7a-5ed3ce28b755,2026-08-19T06:16:00.000,2026-08-19T08:20:00.000,"",14400,2026-09-09T19:45:06
PROMUSDT,replay:85418f7a-bc4f-4417-ae84-4311ec1d1375,2026-08-19T06:16:00.000,2026-08-19T07:48:00.000,"",14400,2026-09-09T19:30:50
PROMUSDT,replay:99fdba70-d6a9-452f-950e-324ea35828b0,2026-08-19T14:01:00.000,2026-08-19T14:37:00.000,"",14400,2026-09-09T20:14:12
PROMUSDT,replay:85418f7a-bc4f-4417-ae84-4311ec1d1375,2026-08-19T14:01:00.000,2026-08-19T18:01:00.000,"",14400,2026-09-09T19:30:52
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-19T14:01:00.000,2026-08-19T14:37:00.000,"",14400,2026-09-10T03:46:14
PROMUSDT,replay:d82356d9-65dd-4d6d-ab7a-5ed3ce28b755,2026-08-19T14:01:00.000,2026-08-19T18:01:00.000,"",14400,2026-09-09T19:45:08
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-19T14:01:00.000,2026-08-19T18:01:00.000,"",14400,2026-09-10T03:03:36
PROMUSDT,replay:3684ac55-49a8-4ffb-a670-d4c7419d9870,2026-08-19T14:01:00.000,2026-08-19T18:01:00.000,"",14400,2026-09-09T19:59:48
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-19T14:01:00.000,2026-08-19T14:37:00.000,"",14400,2026-09-10T04:26:13
