versao,dia,mercado,janela,barra,rotulo,r_exf,r_net,atr_pct,risco_pct
mean_reversion v10,2026-06-25,TAOUSDT,J1,2026-06-25T11:15:00Z,HIGH_VOLATILITY,-1.066432,,0.01358611260483254679502746278,0.020758
mean_reversion v10,2026-06-26,BNBUSDT,J1,2026-06-26T01:45:00Z,HIGH_VOLATILITY,0.083524,,0.009552620806488034878994697949,0.015238
mean_reversion v10,2026-06-26,DASHUSDT,J1,2026-06-26T02:30:00Z,HIGH_VOLATILITY,0.177243,,0.02135295258827511316117848862,0.035776
mean_reversion v10,2026-06-26,ZECUSDT,J1,2026-06-26T02:30:00Z,HIGH_VOLATILITY,0.268007,,0.02025864826213633280244413634,0.033683
mean_reversion v10,2026-06-26,ZECUSDT,J1,2026-06-26T08:45:00Z,HIGH_VOLATILITY,-1.038746,,0.02304519279188092584378740443,0.035217
mean_reversion v10,2026-06-26,BTCUSDT,J1,2026-06-26T10:15:00Z,HIGH_VOLATILITY,-1.064107,,0.01321104979368413860906097269,0.021499
mean_reversion v10,2026-06-26,SOLUSDT,J1,2026-06-26T12:00:00Z,HIGH_VOLATILITY,1.324099,,0.01846072732727382686434737447,0.029124
mean_reversion v10,2026-06-26,PROMUSDT,J1,2026-06-26T12:00:00Z,HIGH_VOLATILITY,1.028821,,0.01379293760278121865884308702,0.020376
mean_reversion v10,2026-06-26,ETHUSDT,J1,2026-06-26T21:00:00Z,HIGH_VOLATILITY,0.083489,,0.01353922845715352358190149825,0.020772
mean_reversion v10,2026-06-26,XRPUSDT,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,0.233070,,0.01272664226716258800265211761,0.018583
mean_reversion v10,2026-06-26,LINKUSDT,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,0.171872,,0.01323619598101345003916227262,0.020187
mean_reversion v10,2026-06-26,NEARUSDT,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,0.143101,,0.02125688259489038854016846551,0.028979
mean_reversion v10,2026-06-26,ARBUSDT,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,0.329160,,0.0166579943952924709958526637,0.024424
mean_reversion v10,2026-06-26,UNIUSDT,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,-0.407001,,0.01799998368385654645552163516,0.027264
mean_reversion v10,2026-06-26,SOLUSDT,J1,2026-06-26T21:30:00Z,HIGH_VOLATILITY,-0.372600,,0.01788941663551056901572130651,0.027246
mean_reversion v10,2026-06-26,TAOUSDT,J1,2026-06-26T21:30:00Z,HIGH_VOLATILITY,-0.112282,,0.0158270848435460826561198006,0.024896
mean_reversion v10,2026-06-26,SUIUSDT,J1,2026-06-26T22:15:00Z,HIGH_VOLATILITY,0.584790,,0.01537811681645160116443021962,0.024067
mean_reversion v10,2026-06-26,PROMUSDT,J1,2026-06-26T22:15:00Z,HIGH_VOLATILITY,0.198385,,0.01171330451382983621378929736,0.017301
mean_reversion v10,2026-06-26,DASHUSDT,J1,2026-06-26T22:45:00Z,HIGH_VOLATILITY,-0.110442,,0.01989841219504211251547144028,0.031291
mean_reversion v10,2026-06-27,ZECUSDT,J1,2026-06-27T01:45:00Z,HIGH_VOLATILITY,-0.402699,,0.02043123245241687280642494556,0.030938
mean_reversion v10,2026-06-27,UNIUSDT,J1,2026-06-27T02:00:00Z,HIGH_VOLATILITY,0.016068,,0.01598605918511028596084333709,0.023899
mean_reversion v10,2026-06-27,DASHUSDT,J1,2026-06-27T03:45:00Z,HIGH_VOLATILITY,-0.257904,,0.01548083228979077924333233026,0.023690
mean_reversion v10,2026-06-27,PROMUSDT,J1,2026-06-27T05:15:00Z,HIGH_VOLATILITY,0.176257,,0.009757874198828838016704682226,0.014361
mean_reversion v10,2026-06-27,NEARUSDT,J1,2026-06-27T06:30:00Z,HIGH_VOLATILITY,-0.131233,,0.01628852140385607191587843752,0.027882
mean_reversion v10,2026-06-27,ZECUSDT,J1,2026-06-27T06:30:00Z,HIGH_VOLATILITY,-0.174831,,0.01677418166275371650297256942,0.027979
mean_reversion v10,2026-06-27,DOGEUSDT,J1,2026-06-27T09:30:00Z,BTC_BEAR,0.164228,,0.009135004563728550531589814635,0.014461
mean_reversion v10,2026-06-27,XRPUSDT,J1,2026-06-27T09:30:00Z,BTC_BEAR,0.238834,,0.00939755025422505657167355763,0.014613
