versao,dia,mercado,original,janela,r_exf,r_net,r_bruto,risco_pct,atr_pct
v1,2026-07-18,UNIUSDT,f,J2,-1.234454,,-0.899135,0.005945,0.006190
v1,2026-07-18,ARBUSDT,f,J2,-1.190238,,-0.918076,0.007319,0.006614
v1,2026-07-19,SAHARAUSDT,f,J2,1.479928,,1.788682,0.006511,0.007020
v1,2026-07-20,PROMUSDT,f,J2,2.137459,,2.219441,0.025059,0.031809
v1,2026-07-20,SAHARAUSDT,f,J2,0.850688,,1.079859,0.008763,0.007063
v1,2026-07-20,ARBUSDT,f,J2,1.530680,,1.904175,0.005379,0.006005
v1,2026-07-20,PROMUSDT,f,J2,1.584852,,1.634939,0.041253,0.043154
v1,2026-07-21,ZECUSDT,f,J2,2.314475,,2.795563,0.004179,0.006093
v1,2026-07-21,ZECUSDT,f,J2,0.932249,,1.200863,0.007475,0.006348
v1,2026-07-21,NEARUSDT,f,J2,-1.177232,,-0.923648,0.007854,0.006273
v1,2026-07-21,NEARUSDT,f,J2,-1.172109,,-0.925842,0.008086,0.006006
v1,2026-07-22,ARBUSDT,f,J2,1.122123,,1.410815,0.006958,0.006473
v1,2026-07-22,PROMUSDT,f,J2,0.182867,,0.275448,0.021654,0.024302
v1,2026-07-22,ARBUSDT,f,J2,0.835501,,1.081213,0.008171,0.006573
v1,2026-07-23,PROMUSDT,f,J2,-1.084974,,-0.963170,0.016281,0.015023
v1,2026-07-23,PROMUSDT,f,J2,1.432058,,1.535477,0.019618,0.019656
v1,2026-07-24,UNIUSDT,f,J2,-1.189077,,-0.918573,0.007364,0.006244
v1,2026-07-25,PROMUSDT,f,J2,1.494663,,1.578842,0.024198,0.024709
v1,2026-07-25,SAHARAUSDT,f,J2,-1.130422,,-0.999994,0.015208,0.014617
v1,2026-07-25,SAHARAUSDT,f,J2,-1.123380,,-0.946717,0.011254,0.010661
v1,2026-07-25,PROMUSDT,f,J2,-0.148788,,-0.089920,0.033902,0.034795
