tag,mint,set,entry_brt,hour_brt,day_brt,reason,hold_s,pnl_sol,pnl_pct,mfe,mae,mark300,mfe_to_exit,source,n_trades,age_s,progress_pct,buys_1m,sells_1m,snipers,unique_buyers_1m,net_sol_flow_1m,mcap_delta_60s,dev_share,creator_net_seller,holders_rising,progress_rising,participation_pct,real_sol,mcap_sol,creator_prior_mints_1h,symbol_dup_24h,gross_curve_sol,pf_fee_sol,creator_fee_sol,net_fee_sol,ata_rent_sol,exit_slip_sol
ANT#1,CLqJQGaaqNm9LGnQPt41HEmJPJ5Pao8DG5TP6f6MPump,operator/5,2026-09-20T01:40:12-03:00,1,2026-09-20,target,6,0.0185151710,28.55,33.5,-24.2,-24.2,28.6,tape+photos,44,219,22.7989,21,5,0,18,2.531862747,5.4765241474,0,False,False,True,0.9671064174566668513549792084,6.080084149,40.4402755854,0,1,0.021956212,0.001396272,0.000440929,0.00009,0.00151384,0.005904555
ANT#2,CLqJQGaaqNm9LGnQPt41HEmJPJ5Pao8DG5TP6f6MPump,operator/6,2026-09-20T01:41:13-03:00,1,2026-09-20,trailing,181,-0.0149591450,-22.90,-2.5,-23.1,-23.1,-2.5,tape+photos,5,220,22.9935,22,5,0,19,2.594372557,5.6167734758,0,False,True,True,0.9588257736546795049659072313,6.142593959,40.5805249138,0,1,-0.013424873,0.001097646,0.000346626,0.00009,0,0.001488574
BLEP#1,GWPYWY1KTMxJW7MFniJH8jfd3ygRr68NKu1iLh3Qpump,operator/5,2026-09-20T01:58:27-03:00,1,2026-09-20,trailing,30,-0.0084166820,-11.76,44.1,-19.9,-19.9,-1.2,tape+photos,111,200,37.6166,38,16,1,32,9.838726993,22.3941515468,0.008984,False,True,True,0.3701482013682798048738945982,11.553561233,53.6408340807,0,0,-0.005148805,0.001264668,0.000399369,0.00009,0.00151384,-0.000045
BLEP#2,GWPYWY1KTMxJW7MFniJH8jfd3ygRr68NKu1iLh3Qpump,operator/6,2026-09-20T01:59:00-03:00,1,2026-09-20,target,7,0.0038854390,16.25,59.2,-11.5,-11.5,16.4,tape+photos,98,200,37.6166,38,16,1,32,9.838726993,22.3941515468,0.008984,False,True,True,0.3701482013682798048738945982,11.553561233,53.6408340807,0,0,0.004622513,0.000491776,0.000155298,0.00009,0,-0.000045
SNORP,DsNzfxy6kZE8baAvbDi9r7fwSBPLU43kVEtDUDGyrrXt,operator/6,2026-09-20T02:57:51-03:00,2,2026-09-20,creator_dump,150,-0.0441289910,-61.69,10.1,-63.1,-63.1,10.1,tape+photos,30,102,52.7624,10,3,0,10,4.957230512,15.9107856432,0,False,True,True,0.8349636724661426316172948015,18.620155522,75.1357318974,0,0,-0.04133889,0.000920862,0.000290799,0.00009,0.00148844,-0.000045061
WEENY,7hPC4gXeycTKusx86cYeBGc8jQfVqpNqyBBMyTzVpump,operator/5,2026-09-20T03:30:33-03:00,3,2026-09-20,target,32,0.0206921260,28.51,29.1,-6.9,4.8,29.1,tape+photos,35,63,33.5339,27,8,9,27,9.2140377019,3.2394268027,0,False,False,True,0.3127680358354585436987474386,9.886377523,49.4228987613,0,0,0.024353909,0.001564036,0.000493907,0.00009,0.00151384,0.00060276
RCITY,9cPkayXSXuDJG1AHJ94F3hkSACXqXJ65RQVyu68Bpump,operator/5,2026-09-20T07:05:51-03:00,7,2026-09-20,trailing,7,-0.0058277140,-8.04,9.6,-27.2,-21.4,5.3,tape+photos,1442,61,93.41,129,54,10,95,25.408297508,132.9303628646,0.001137,False,False,True,0.04707012023042620263759311737,66.909483409,291.7504804392,0,0,-0.001822747,0.001308056,0.000413071,0.00077,0.00151384,0.000414953
DOGPHIL,9jC1hS5B1HMCP1KHneBn4WZFMnBephp6w35ehMXWpump,operator/6,2026-09-20T10:27:54-03:00,10,2026-09-20,target,30,0.0096365460,16.15,28.1,-35.7,-35.7,16.2,tape+photos,39,86,28.4232,25,10,2,22,7.238172736,15.4521505706,0,False,True,True,0.6532978109704234524061660767,7.978913477,44.8088806496,0,0,0.012835787,0.001212504,0.000382897,0.00009,0.00151384,-0.000045
Aura#1,GWVyYgBfgkxrvjSUt6KqxKsTJ87gMNVHSzPJ7R8epump,operator/5,2026-09-20T11:11:29-03:00,11,2026-09-20,trailing,17,-0.0004783350,-0.67,90.0,-4.6,80.4,9.1,tape+photos,273,92,53.8051,17,6,2,17,2.842219989,8.5447886801,0,False,False,True,0.3351480618900860153110401295,19.808769814,77.0709397195,0,1,0.002890028,0.001341037,0.000423486,0.00009,0.00151384,0.002279935
Aura#2,GWVyYgBfgkxrvjSUt6KqxKsTJ87gMNVHSzPJ7R8epump,operator/6,2026-09-20T11:11:48-03:00,11,2026-09-20,target,53,0.0114471300,16.34,87.5,-2.5,69.8,16.4,tape+photos,260,94,53.9181,17,6,2,17,2.153180688,4.5425756068,0,False,True,True,0.3465818048561312756164763796,20.543055244,77.2850409358,0,1,0.013433445,0.001441199,0.000455116,0.00009,0,-0.000045
